workers,n,edges,triangles,buildMs,speedup
1,100,4950,161700,494.9882999999997,0.43441161471224105
2,100,4950,161700,457.15743333333313,0.4703602107020327
4,100,4950,161700,487.5133333333336,0.44107238092633416
8,100,4950,161700,540.2628999999991,0.39800746389705344
