size,pixels,edges,squares,timeMean,timeStd
4,16,24,9,0.2299000000000035,0.31885241727168456
8,64,112,49,0.24428000000000338,0.053839034166678706
16,256,480,225,0.8546799999999962,0.2125097494234169
32,1024,1984,961,3.1588200000000084,1.7839170669064166
64,4096,8064,3969,16.718920000000015,3.499147519839657
128,16384,32512,16129,64.81841999999999,5.735794280271923
256,65536,130560,65025,882.6047999999998,120.56636111312314
