eps,edges,triangles,tetrahedra,timeMean,timeStd
0.1,149,103,48,1.4034600000013597,1.222269369003227
0.3,1162,6478,22969,56.67627999999822,4.403058423141001
0.5,2624,36656,340139,5177.740099999995,0
