dims,n,eps,edges,triangles,timeMean,timeStd
2,80,1.1313708498984762,3150,81407,316.22776000000306,15.437974264730807
3,80,1.3856406460551018,3154,81701,317.7337799999979,19.800544202063598
4,80,1.6,3159,82082,312.83236000000034,19.816475313807217
6,80,1.9595917942265424,3160,82160,283.2147799999919,19.424744914606674
9,80,2.4000000000000004,3160,82160,286.59726000000376,7.851331632681476
