n,eps,edges,triangles,denseMs,sparseMs,speedup
20,0.3,35,25,0.06054000000003725,0.38663999999989757,6.3865213082203445
20,0.6,114,311,0.5348199999985809,0.864340000001539,1.6161325305781993
20,1,183,1030,1.3580000000009023,3.719519999998738,2.7389690721621993
50,0.3,276,683,0.14631999999983236,0.5237800000009883,3.5796883543028186
50,0.6,796,6848,4.131959999999526,12.254060000000754,2.96567730568596
50,1,1186,17914,21.886959999999817,71.78276000000042,3.2797044450211916
100,0.3,1162,6478,4.230760000000737,10.200880000000325,2.4111223515393325
100,0.6,3262,59212,123.89010000000053,313.9901400000017,2.5344247845469523
100,1,4839,151714,604.5665999999998,1919.9780199999993,3.175792410629367
