n,eps,edges,triangles,tetrahedra,h0,h1finite,h1essential,h2,timeMean,timeStd,heapMB
10,0.3,10,2,0,8,2,0,0,0.39026000000000066,0.510390010090326,0.12751312255859376
20,0.3,35,25,8,17,18,0,7,0.35382000000000174,0.07757178352984095,0.11802520751953124
50,0.3,276,683,990,49,225,2,458,3.9921400000000005,1.2242035036708556,0.2516021728515625
100,0.3,1162,6478,22969,99,1063,0,5415,64.94146,19.934560953339307,8.292955017089843
200,0.3,4552,48414,327933,199,4353,0,44061,3638.7394333333336,46.740807572708185,61.11754608154297
10,0.8,36,65,65,9,27,0,38,0.3024399999998423,0.06315522464504035,0.12744598388671874
20,0.8,151,635,1728,19,132,0,503,3.151499999999578,0.6167413493521472,1.6042953491210938
50,0.8,1057,13461,119424,49,1008,0,12453,552.0025666666667,17.52681283373784,-59.60711161295573
80,0.8,2814,60553,915825,79,2735,0,57818,29341.004500000003,0,125.48251342773438
